,id,type_id,sub_type_id,fixture_id,player_id,related_player_id,period_id,participant_id,addition,minute,sort_order,Unnamed: 0
567,85958821,10,,11895908,252601.0,,3417729,36,,68,1,567
621,88025996,10,,11895985,96125.0,,3417882,485,,45,1,621
625,88026005,10,,11895985,129758.0,,3417883,485,,78,1,625
653,88025849,10,,11896009,185998.0,,3417931,106,,86,1,653
660,88025754,10,,11896017,186864.0,,3417947,485,Goal Disallowed,64,1,660
665,88025678,10,,11896027,96125.0,,3417966,485,,5,1,665
681,88025514,10,,11896048,448379.0,,3418009,645,,51,1,681
759,85958821,10,,11895908,252601.0,,3417729,36,,68,1,759
868,88025506,10,,11896049,537208.0,,3418011,844,,60,1,868
1011,88025887,10,,11896010,177188.0,,3417933,459,,79,1,1011
1032,88025459,10,,11896056,185698.0,,3418025,60,,69,1,1032
1142,88025909,10,,11895998,215025.0,,3417908,60,,11,1,1142
1155,88025754,10,,11896017,186864.0,,3417947,485,Goal Disallowed,64,1,1155
1167,88025459,10,,11896056,185698.0,,3418025,60,,69,1,1167
1310,88025832,10,,11896014,159700.0,,3417940,3468,Goal Disallowed,13,1,1310
1317,88025817,10,,11896020,380232.0,,3417952,645,Goal Disallowed,29,1,1317
1323,88025625,10,,11896034,186552.0,,3417981,3477,,56,1,1323
1330,88025566,10,,11896038,187128.0,,3417989,103,Goal Confirmed,84,1,1330
1337,88025473,10,,11896054,185573.0,,3418021,528,,90,1,1337
1380,85958886,10,,11895865,186663.0,,3417643,2975,,73,1,1380
1442,85958671,10,,11895980,34700.0,,3417872,645,Goal Disallowed,45,1,1442
1444,85958675,10,,11895980,186391.0,,3417873,676,,61,1,1444
1481,88025817,10,,11896020,380232.0,,3417952,645,Goal Disallowed,29,1,1481
1487,88025653,10,,11896029,34700.0,,3417970,645,,13,1,1487
1494,88025597,10,,11896040,380232.0,,3417993,645,Goal Disallowed,55,1,1494
1496,88025514,10,,11896048,448379.0,,3418009,645,,51,1,1496
1630,85958671,10,,11895980,34700.0,,3417872,645,Goal Disallowed,45,1,1630
